omega,Re_G_fit,Im_G_fit
1.5572516756e+02,-3.7398773636e-03,2.7810027644e-04
1.5808420137e+02,-3.6315140374e-03,1.7071250515e-04
1.6047897148e+02,-3.5310776775e-03,2.7948962490e-05
1.6291001924e+02,-3.4343952735e-03,-1.3489840224e-04
1.6537789421e+02,-3.3392602097e-03,-3.0026055150e-04
1.6788315428e+02,-3.2465894084e-03,-4.5058830827e-04
1.7042636578e+02,-3.1601387123e-03,-5.7069220637e-04
1.7300810363e+02,-3.0848750024e-03,-6.4953340029e-04
1.7562895145e+02,-3.0247592068e-03,-6.8112775138e-04
1.7828950170e+02,-2.9809391233e-03,-6.6464389865e-04
1.8099035584e+02,-2.9510998058e-03,-6.0401174757e-04
1.8373212440e+02,-2.9301626173e-03,-5.0726114259e-04
1.8651542719e+02,-2.9119441125e-03,-3.8556004901e-04
1.8934089340e+02,-2.8910184562e-03,-2.5181995733e-04
1.9220916175e+02,-2.8640150949e-03,-1.1890736096e-04
1.9512088063e+02,-2.8299262699e-03,2.2126178838e-06
1.9807670827e+02,-2.7895097288e-03,1.0393243316e-04
2.0107731286e+02,-2.7442612547e-03,1.8270663163e-04
2.0412337270e+02,-2.6955041857e-03,2.3892150272e-04
2.0721557639e+02,-2.6439261872e-03,2.7608475314e-04
2.1035462295e+02,-2.5895802910e-03,2.9960576527e-04
2.1354122197e+02,-2.5321539346e-03,3.1545252258e-04
2.1677609383e+02,-2.4712755932e-03,3.2894077641e-04
2.2005996980e+02,-2.4067249654e-03,3.4385699993e-04
2.2339359221e+02,-2.3385319914e-03,3.6203645870e-04
2.2677771467e+02,-2.2670102172e-03,3.8341603490e-04
2.3021310219e+02,-2.1927590140e-03,4.0648023499e-04
2.3370053135e+02,-2.1166303788e-03,4.2894419681e-04
2.3724079054e+02,-2.0396394292e-03,4.4848671881e-04
2.4083468005e+02,-1.9628191708e-03,4.6336343033e-04
2.4448301231e+02,-1.8870574616e-03,4.7278571872e-04
2.4818661206e+02,-1.8129733289e-03,4.7702421793e-04
2.5194631654e+02,-1.7408748657e-03,4.7726293706e-04
2.5576297565e+02,-1.6708032347e-03,4.7527575526e-04
2.5963745218e+02,-1.6026325488e-03,4.7301772318e-04
2.6357062199e+02,-1.5361830240e-03,4.7222403074e-04
2.6756337421e+02,-1.4713158543e-03,4.7409516252e-04
2.7161661144e+02,-1.4079986825e-03,4.7912151950e-04
2.7573124994e+02,-1.3463439258e-03,4.8706844342e-04
2.7990821986e+02,-1.2866219835e-03,4.9710860414e-04
2.8414846544e+02,-1.2292436236e-03,5.0805967259e-04
2.8845294524e+02,-1.1747025718e-03,5.1866715729e-04
2.9282263230e+02,-1.1234778972e-03,5.2786912717e-04
2.9725851445e+02,-1.0759131159e-03,5.3499128370e-04
3.0176159444e+02,-1.0321042372e-03,5.3984253522e-04
3.0633289023e+02,-9.9183201326e-04,5.4270454515e-04
3.1097343522e+02,-9.5456199406e-04,5.4422645264e-04
3.1568427842e+02,-9.1951601827e-04,5.4524625752e-04
3.2046648478e+02,-8.8580081595e-04,5.4656680116e-04
3.2532113535e+02,-8.5257063644e-04,5.4872140341e-04
3.3024932755e+02,-8.1920080550e-04,5.5177239848e-04
3.3525217547e+02,-7.8545050575e-04,5.5518960748e-04
3.4033081002e+02,-7.5158806144e-04,5.5784706024e-04
3.4548637929e+02,-7.1844062604e-04,5.5815016835e-04
3.5072004872e+02,-6.8732390487e-04,5.5426666658e-04
3.5603300144e+02,-6.5982248918e-04,5.4439949424e-04
3.6142643849e+02,-6.3743391462e-04,5.2703053694e-04
3.6690157910e+02,-6.2114678007e-04,5.0109277752e-04
3.7245966096e+02,-6.1106882200e-04,4.6608118386e-04
3.7810194054e+02,-6.0623217514e-04,4.2215195886e-04
3.8382969332e+02,-6.0467231928e-04,3.7024904697e-04
3.8964421411e+02,-6.0380789839e-04,3.1223326515e-04
3.9554681733e+02,-6.0105048329e-04,2.5091665401e-04
4.0153883731e+02,-5.9447102575e-04,1.8988823050e-04
4.0762162860e+02,-5.8329162859e-04,1.3309305464e-04
4.1379656628e+02,-5.6800893100e-04,8.4259041302e-05
4.2006504622e+02,-5.5009442234e-04,4.6362575586e-05
4.2642848549e+02,-5.3139100890e-04,2.1307417520e-05
4.3288832260e+02,-5.1343746066e-04,9.8695867578e-06
4.3944601783e+02,-4.9695228653e-04,1.1822917042e-05
4.4610305362e+02,-4.8162285956e-04,2.6100532981e-05
4.5286093485e+02,-4.6623677723e-04,5.0895515990e-05
4.5972118919e+02,-4.4909965401e-04,8.3712244911e-05
4.6668536746e+02,-4.2861024837e-04,1.2146662147e-04
4.7375504398e+02,-4.0381142185e-04,1.6073601729e-04
4.8093181690e+02,-3.7472925716e-04,1.9817324018e-04
