omega,Re_G,Im_G
 3.14532865e+00, 2.21121162e-01,-3.30074766e-01
 3.15718726e+00, 2.19835671e-01,-3.29892402e-01
 3.16909058e+00, 2.18551474e-01,-3.29705246e-01
 3.18103878e+00, 2.17268632e-01,-3.29513311e-01
 3.19303203e+00, 2.15987208e-01,-3.29316612e-01
 3.20507049e+00, 2.14707264e-01,-3.29115163e-01
 3.21715434e+00, 2.13428862e-01,-3.28908979e-01
 3.22928375e+00, 2.12152063e-01,-3.28698076e-01
 3.24145890e+00, 2.10876930e-01,-3.28482470e-01
 3.25367994e+00, 2.09603523e-01,-3.28262177e-01
 3.26594706e+00, 2.08331902e-01,-3.28037213e-01
 3.27826043e+00, 2.07062130e-01,-3.27807595e-01
 3.29062023e+00, 2.05794264e-01,-3.27573341e-01
 3.30302662e+00, 2.04528367e-01,-3.27334467e-01
 3.31547979e+00, 2.03264495e-01,-3.27090992e-01
 3.32797991e+00, 2.02002710e-01,-3.26842933e-01
 3.34052716e+00, 2.00743068e-01,-3.26590309e-01
 3.35312172e+00, 1.99485628e-01,-3.26333139e-01
 3.36576376e+00, 1.98230447e-01,-3.26071440e-01
 3.37845346e+00, 1.96977582e-01,-3.25805234e-01
 3.39119101e+00, 1.95727089e-01,-3.25534538e-01
 3.40397658e+00, 1.94479023e-01,-3.25259372e-01
 3.41681035e+00, 1.93233440e-01,-3.24979757e-01
 3.42969251e+00, 1.91990394e-01,-3.24695712e-01
 3.44262324e+00, 1.90749938e-01,-3.24407258e-01
 3.45560272e+00, 1.89512125e-01,-3.24114415e-01
 3.46863114e+00, 1.88277008e-01,-3.23817204e-01
 3.48170868e+00, 1.87044638e-01,-3.23515646e-01
 3.49483552e+00, 1.85815065e-01,-3.23209762e-01
 3.50801185e+00, 1.84588340e-01,-3.22899573e-01
 3.52123786e+00, 1.83364511e-01,-3.22585102e-01
 3.53451374e+00, 1.82143626e-01,-3.22266369e-01
 3.54783967e+00, 1.80925734e-01,-3.21943396e-01
 3.56121584e+00, 1.79710879e-01,-3.21616205e-01
 3.57464244e+00, 1.78499108e-01,-3.21284819e-01
 3.58811966e+00, 1.77290466e-01,-3.20949259e-01
